id,Category,name,subtitle,price,discount_price,main_image_url,secondary_image_url,nutritional_info
3261,Licores,Ginebra strawberry Gin Glivery,Botella 700 ml,"6,90 €",,https://prod-mercadona.imgix.net/images/b8c73d9eba16c76c6b991a8decf1d92f.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/36b9919cb24e0877c5298bfe3d995bc7.jpg?fit=crop&h=600&w=600,"Ginebra strawberry Gin Glivery, Botella, 700 Mililitros, 6,90€ por Unidad"
1882,Especias,Albahaca Hacendado,Bote 20 g,"1,25 €",,https://prod-mercadona.imgix.net/images/666740b544111126529a014431ba81f4.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/3783d8aafaf8d215d547339fdbf7a4fa.jpg?fit=crop&h=600&w=600,"Albahaca Hacendado, Bote, 20 Gramos, 1,25€ por Unidad"
1011,Bollería de horno,Pastel de crema 65%,Pieza 55 g,"0,55 €",,https://prod-mercadona.imgix.net/images/fac4b4c3a7118b4a126b4db7627e6f84.jpg?fit=crop&h=600&w=600,,"Pastel de crema 65%, Pieza, 55 Gramos, 0,55€ por Unidad"
3690,Colorete y polvos,Colorete compacto Blush Luminoso Deliplus 03 dorado,1 ud.,"5,00 €",,https://prod-mercadona.imgix.net/images/5163bceca365b88bff5c81020af0c5a5.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/4284816d6a60e1a12200bd3308f144a7.jpg?fit=crop&h=600&w=600,"Colorete compacto Blush Luminoso Deliplus 03 dorado, 1 Unidad, 5,00€ por Unidad"
1581,Yogures griegos,Yogur griego con mango Hacendado,4 ud. x 125 g,"1,65 €",,https://prod-mercadona.imgix.net/images/8e5c6a11713d9cb99dee77a13e49f9b0.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/3872e0a2113a9b9d391b13103a414697.jpg?fit=crop&h=600&w=600,"Yogur griego con mango Hacendado, 4 Unidades x 125 Gramos, 1,65€ por Pack"
1739,Chocolate,"Surtido bombones Senzza de chocolate con avellana, fondant, praliné y almendra",Paquete 40 ud. (470 g),"5,50 €",,https://prod-mercadona.imgix.net/images/bd05dfaf7e041eb3d814cc7604a45f39.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/71836ac92acc4540d1b6247e8636b79c.jpg?fit=crop&h=600&w=600,"Surtido bombones Senzza de chocolate con avellana, fondant, praliné y almendra, Paquete, 40 Unidades (470 g), 5,50€ por Unidad"
1058,Velas y decoración,Vela de cumpleaños 7 Hacendado,Paquete 1 ud.,"0,75 €",,https://prod-mercadona.imgix.net/images/94b2050370965d1608f30aea2d20ccd9.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/b4a5fef100e07a921801073382b0d5e1.jpg?fit=crop&h=600&w=600,"Vela de cumpleaños 7 Hacendado, Paquete, 1 Unidad, 0,75€ por Unidad"
2632,Platos preparados calientes,Arroz cocido basmati Sabroz,2 vasitos x 125 g,"1,15 €",,https://prod-mercadona.imgix.net/images/485f5e653b6655185c51eec9858703cb.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/9f017fa5112e92b9c3c981f63baa0178.jpg?fit=crop&h=600&w=600,"Arroz cocido basmati Sabroz, 2 vasitos x 125 Gramos, 1,15€ por Pack"
3388,Cuidado corporal,Crema de manos reparadora Deliplus,Bote 75 ml,"1,30 €",,https://prod-mercadona.imgix.net/images/f042115d017338f63e2a3f7ff22dc197.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/2be1a24f17c1c163b212ee82c1665ed8.jpg?fit=crop&h=600&w=600,"Crema de manos reparadora Deliplus, Bote, 75 Mililitros, 1,30€ por Unidad"
4154,Limpieza vajilla,Ambientador lavavajillas Limón Bosque Verde,Paquete 2 recambios,"1,50 €",,https://prod-mercadona.imgix.net/images/8e15c3e17c206c97b6ad6f00b94fce6c.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/4ffa743f3589c0544e040206b3e6e1d3.jpg?fit=crop&h=600&w=600,"Ambientador lavavajillas Limón Bosque Verde, Paquete, 2 recambios, 1,50€ por Unidad"
2403,Pizzas,Pizza boloñesa Hacendado ultracongelada,400 g,"2,60 €",,https://prod-mercadona.imgix.net/images/ab18ce5b4c4911f66cee4ea95327f2a2.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/c39333f4f5d26e7c6b5fa3d2d03b4476.jpg?fit=crop&h=600&w=600,"Pizza boloñesa Hacendado ultracongelada, 400 Gramos, 2,60€ por Unidad"
1236,Café cápsula y monodosis,Café en cápsula espresso intenso Dolce Gusto,Caja 16 cápsulas (112 g),"5,20 €",,https://prod-mercadona.imgix.net/images/686d147f0a98a8438274689d162e5ad7.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/560e3950dff97b505b105f6b5580d1ef.jpg?fit=crop&h=600&w=600,"Café en cápsula espresso intenso Dolce Gusto, Caja, 16 cápsulas (112 g), 5,20€ por Unidad"
1035,Tortitas,Tortitas de arroz Hacendado,Paquete 4 packs (124 g),"1,10 €",,https://prod-mercadona.imgix.net/images/a202828b49681aeceaa281bc820c1a18.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/a47e78aba0947c02f8d16e842f28b55a.jpg?fit=crop&h=600&w=600,"Tortitas de arroz Hacendado, Paquete, 4 packs (124 g), 1,10€ por Unidad"
